"archivo","textpx","glasscard","oklch","hex"
"src\app\swagger\page.tsx","1","0","0","93"
"src\features\dashboard\tabs\intelligence\NetworkOsintSection.tsx","64","5","14","7"
"src\features\dashboard\tabs\intelligence\MailSecurityPanel.tsx","58","1","15","0"
"src\features\dashboard\tabs\IntelligenceTab.tsx","44","11","8","0"
"src\features\dashboard\HistoryPanel.tsx","44","1","14","0"
"src\app\docs\api\playground\page.tsx","46","6","0","0"
"src\features\dashboard\tabs\MonitoringTab.tsx","29","8","5","7"
"src\features\dashboard\tabs\intelligence\CopilotConsole.tsx","11","1","5","30"
"src\features\dashboard\tabs\PerformanceTab.tsx","21","8","18","0"
"src\features\dashboard\tabs\ReportsTab.tsx","27","5","5","6"
"src\features\dashboard\tabs\OverviewTab.tsx","20","6","16","0"
"src\features\dashboard\BenchmarkingSection.tsx","21","3","17","0"
"src\features\dashboard\tabs\SettingsTab.tsx","37","3","0","0"
"src\app\projects\[id]\audits\[auditId]\page.tsx","25","11","0","3"
"src\app\security\audit\page.tsx","36","0","0","0"
"src\features\dashboard\GeoMap.tsx","3","0","0","32"
"src\features\dashboard\DashboardSidebar.tsx","28","0","0","0"
"src\app\docs\api\page.tsx","24","3","0","0"
"src\app\settings\api-keys\ApiKeysDashboard.tsx","26","0","0","0"
"src\features\dashboard\tabs\AdversaryTab.tsx","20","2","3","0"
"src\server\reports\pdf-template.tsx","0","0","0","25"
"src\app\mitre-coverage\page.tsx","23","0","0","0"
"src\app\projects\[id]\page.tsx","22","0","0","0"
"src\features\dashboard\tabs\KeywordsTab.tsx","13","3","3","0"
"src\features\dashboard\ScoreGauge.tsx","5","0","3","8"
"src\features\dashboard\IncidentBriefModal.tsx","11","0","4","0"
"src\features\dashboard\tabs\MarketplaceTab.tsx","11","2","0","0"
"src\app\docs\not-found.tsx","9","2","2","0"
"src\components\NeuralNetworkBackground.test.tsx","0","0","0","12"
"src\app\offline\page.tsx","1","0","0","11"
"src\features\dashboard\AttackSurfaceGraph.tsx","3","0","0","8"
"src\features\dashboard\AiCopilot.tsx","8","1","2","0"
"src\app\login\page.tsx","7","2","2","0"
"src\features\dashboard\ProjectCard.tsx","7","1","1","0"
"src\features\intelligence\components\ToolCatalog.tsx","8","0","0","1"
"src\features\intelligence\components\TopologyGraph.tsx","0","0","0","9"
"src\app\docs\[...slug]\page.tsx","9","0","0","0"
"src\features\dashboard\NewProjectModal.tsx","7","1","0","0"
"src\features\dashboard\MitreBadge.tsx","7","0","0","1"
"src\features\dashboard\MermaidBlock.tsx","1","0","0","7"
"src\app\ai\health\health-dashboard.client.tsx","8","0","0","0"
"src\app\docs\page.tsx","6","1","0","0"
"src\features\dashboard\LiveMetricsBar.tsx","7","0","0","0"
"src\features\dashboard\PdfProgressBar.tsx","0","0","0","6"
"src\features\dashboard\ToasterProvider.tsx","0","0","0","6"
"src\features\intelligence\components\TelemetryTimeline.tsx","4","0","0","1"
"src\features\dashboard\IntelligenceTabSkeleton.tsx","0","5","0","0"
"src\features\intelligence\components\MailHealthScorecard.tsx","5","0","0","0"
"src\features\intelligence\components\EvidencesList.tsx","5","0","0","0"
"src\components\ui\Button.tsx","4","0","0","0"
"src\features\intelligence\components\GlobalTargetCommand.tsx","2","0","0","2"
"src\app\docs\layout.tsx","3","0","0","0"
"src\features\dashboard\DownloadPdfButton.tsx","1","0","0","2"
"src\app\not-found.tsx","1","1","1","0"
"src\features\intelligence\components\QuickMetricsHud.tsx","3","0","0","0"
"src\app\error.tsx","2","1","0","0"
"src\features\dashboard\TabSkeleton.tsx","0","2","0","0"
"src\components\PushSubscribeButton.tsx","2","0","0","0"
"src\app\projects\[id]\components\AuditControl.tsx","2","0","0","0"
"src\features\dashboard\tabs\ProjectsTab.tsx","2","0","0","0"
"src\features\dashboard\LanguageSwitcher.tsx","2","0","0","0"
"src\components\ui\Card.tsx","0","2","0","0"
"src\components\NeuralNetworkBackground.tsx","0","0","0","2"
"src\features\intelligence\components\AiCopilotSidebar.tsx","1","0","0","0"
"src\features\intelligence\components\ApiHealthBadge.tsx","1","0","0","0"
"src\app\projects\[id]\components\DeactivateButton.tsx","1","0","0","0"
"src\app\layout.tsx","0","0","0","1"
"src\features\dashboard\InstallPwaButton.tsx","1","0","0","0"
"src\features\dashboard\DashboardHeader.tsx","1","0","0","0"
"src\app\intelligence\layout.tsx","0","0","0","1"
"src\shared\design-system\theme\theme-switcher.tsx","1","0","0","0"
